query_id,metric,baseline_single,blackboard_mas
EGFR_L858R,latency_to_decision_s,141.43630000000002,75.7926
EGFR_L858R,productive_egress_tokens_per_gpu_s,3.16,3.13
EGFR_L858R,gpu_productivity_ratio,1.0,1.0
EGFR_L858R,workflow_density_steps_per_s,0.021,0.145
EGFR_L858R,n_agent_steps,3,11
EGFR_T790M,latency_to_decision_s,37.2721,59.3381
EGFR_T790M,productive_egress_tokens_per_gpu_s,0.67,2.46
EGFR_T790M,gpu_productivity_ratio,1.0,1.0
EGFR_T790M,workflow_density_steps_per_s,0.027,0.152
EGFR_T790M,n_agent_steps,1,9
PIK3CA_E545K,latency_to_decision_s,40.0632,63.3004
PIK3CA_E545K,productive_egress_tokens_per_gpu_s,0.72,2.63
PIK3CA_E545K,gpu_productivity_ratio,1.0,1.0
PIK3CA_E545K,workflow_density_steps_per_s,0.025,0.142
PIK3CA_E545K,n_agent_steps,1,9
TP53_R175H,latency_to_decision_s,46.5379,60.3693
TP53_R175H,productive_egress_tokens_per_gpu_s,0.83,2.51
TP53_R175H,gpu_productivity_ratio,1.0,1.0
TP53_R175H,workflow_density_steps_per_s,0.021,0.166
TP53_R175H,n_agent_steps,1,10
unknown,latency_to_decision_s,,0.0
unknown,productive_egress_tokens_per_gpu_s,,0.0
unknown,gpu_productivity_ratio,,1.0
unknown,workflow_density_steps_per_s,,NA
unknown,n_agent_steps,,1
